month,interest
2004-01,19
2004-02,100
2004-03,2
2004-04,2
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,2
2004-10,2
2004-11,2
2004-12,4
2005-01,14
2005-02,28
2005-03,2
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,2
2005-09,2
2005-10,2
2005-11,2
2005-12,3
2006-01,15
2006-02,29
2006-03,2
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,2
2006-10,2
2006-11,2
2006-12,3
2007-01,16
2007-02,27
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,2
2007-10,2
2007-11,2
2007-12,3
2008-01,16
2008-02,27
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,2
2008-10,2
2008-11,2
2008-12,3
2009-01,18
2009-02,21
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,2
2009-10,1
2009-11,1
2009-12,2
2010-01,8
2010-02,23
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,2
2010-12,2
2011-01,10
2011-02,27
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,2
2011-10,2
2011-11,2
2011-12,3
2012-01,10
2012-02,24
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,2
2012-10,1
2012-11,2
2012-12,2
2013-01,9
2013-02,31
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,2
2014-01,12
2014-02,27
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,2
2015-01,12
